Area,Item,Year,hg/ha_yield,avg_temp,average_rain_fall_mm_per_year,pesticides_tonnes
Nepal,Wheat,2012,24123,14.1,1311.58,410.32
Nepal,Wheat,2013,22902,13.98,1337.49,454.53
Nepal,Wheat,2014,24960,14.06,732.86,549.17
Nepal,Wheat,2015,25914,14.08,1300.03,573.97
Nepal,Wheat,2016,23288,14.77,1319.75,632.75
Nepal,Wheat,2017,25538,14.53,1288.91,691.53
Nepal,Wheat,2018,27573,14.26,1290.34,750.31
Nepal,Wheat,2019,28490,14.08,1212.42,809.09
Nepal,Wheat,2020,30887,13.89,1300.87,681.5
Nepal,Wheat,2021,29917,14.29,1365.81,783.14
Nepal,Wheat,2022,29911,14.39,1213.61,600
