YEAR,MO,DY,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,LAT,LON
1982,3,8,18.86,11.2,19.01,-257.11,27.87,11.83,5,40.44,0,98.84,3.65,5.87,2.02,3.85,5.95,7.62,3.12,4.51,27.24,84.78
1982,3,9,19.9,11.41,19.57,-258.21,28.5,13.56,4.82,35.62,0,98.83,2.53,4.49,1.28,3.21,3.62,5.41,1.76,3.66,27.24,84.78
1982,3,10,21.33,12.48,20.94,-256.76,30.7,14.31,5.07,34.56,0.06,98.81,2.38,3.95,0.8,3.16,3.46,4.94,0.98,3.95,27.24,84.78
1982,3,11,22.14,13.73,21.77,-257.72,30.62,15.2,5.74,36.31,0,98.87,2.77,4.11,1.55,2.56,3.95,5.33,1.88,3.45,27.24,84.78
1982,3,12,21.74,14,21.84,-259.03,29.87,15.75,6.04,38.94,0,98.87,4.15,6.51,2.89,3.62,6.48,8.89,3.89,5,27.24,84.78
1982,3,13,20.08,13.21,20.48,-257.35,28.94,13.15,6.1,44.38,0,98.82,2.87,5.16,0.55,4.61,4.42,6.41,0.67,5.74,27.24,84.78
1982,3,14,21.67,14.15,22.14,-256.56,30.78,14.19,6.23,41.19,0,98.78,1.92,2.85,0.66,2.19,2.89,5.25,0.84,4.41,27.24,84.78
1982,3,15,23.2,14.48,23.08,-258.86,31.44,17.15,5.86,34.81,0,98.55,2.25,3.75,0.3,3.45,3.11,4.86,0.26,4.6,27.24,84.78
1982,3,16,24.77,16.22,24.51,-258.06,32.3,17.21,6.71,35.62,0,98.34,2.37,3.12,1.45,1.66,3.16,4.44,2.09,2.35,27.24,84.78
1982,3,17,24.53,16.3,24.93,-257.49,32.9,17.24,6.84,37.62,0.48,98.34,3.07,3.95,0.49,3.46,4.84,7.79,0.59,7.2,27.24,84.78
1982,3,18,26.18,17.21,26.02,-258.77,33.73,19.35,6.96,33.88,0,98.37,2.38,3.27,0.8,2.45,3.54,6.58,1.1,5.48,27.24,84.78
1982,3,19,25.19,16.92,25.33,-258.56,33.3,18.72,7.14,37.38,0.18,98.46,2.48,3.91,1.27,2.64,3.55,5.93,1.27,4.66,27.24,84.78
1982,3,20,25.19,16.46,24.83,-256.95,33.98,17.77,6.71,36.06,0.47,98.56,2.51,3.95,0.92,3.03,3.55,5.77,1.52,4.25,27.24,84.78
1982,3,21,25.7,15.97,25.26,-257.31,33.82,17.98,6.04,31.06,0,98.61,1.98,2.84,0.08,2.76,2.69,3.98,0.15,3.84,27.24,84.78
1982,3,22,26.9,16.96,26.3,-256.52,35.08,18.46,6.41,30.44,0,98.47,2.24,3.86,0.8,3.06,2.96,4.55,0.68,3.86,27.24,84.78
1982,3,23,26.93,17.73,26.98,-256.12,35.9,18.87,7.08,33.81,0,98.39,3.04,5.45,1.37,4.07,4.4,6.37,1.67,4.7,27.24,84.78
1982,3,24,27.08,19.23,27.2,-261.42,34.25,22.52,8.67,39.56,5.63,98.48,3.3,4.96,1.02,3.94,5.24,8.91,1.28,7.62,27.24,84.78
1982,3,25,25.95,18.95,26.69,-260.82,32.47,20.14,8.91,43.69,0.17,98.5,2.92,5.19,0.56,4.62,4.45,5.96,0.57,5.39,27.24,84.78
1982,3,26,24.46,17.41,25.62,-259.02,32.26,18.14,8,43.62,0.03,98.48,2.52,4.7,0.52,4.2,3.75,5.59,0.64,4.96,27.24,84.78
1982,3,27,23.89,15.27,24.8,-256.97,32.8,16.62,6.23,36.56,0,98.64,2.95,4.77,1.07,3.69,4.51,5.91,1.38,4.53,27.24,84.78
1982,3,28,25.61,15.87,25.48,-256.79,33.64,17.27,5.98,31.31,0,98.65,1.9,3.07,0.18,2.89,2.65,5.77,0.23,5.54,27.24,84.78
1982,3,29,27.16,18.02,27.41,-256.37,35.22,18.44,7.32,33.69,0,98.63,2.22,3.2,0.88,2.32,2.96,3.88,1.15,2.73,27.24,84.78
1982,3,30,27.48,19.58,28.3,-259.06,34.77,20.68,8.73,39.31,0,98.46,2.23,3.12,1.73,1.39,3.05,4,2.14,1.86,27.24,84.78
1982,3,31,27.44,19.28,28.17,-258.37,35.81,21.03,8.48,38.5,0.01,97.93,3.26,6.52,0.77,5.74,4.63,7.84,0.68,7.16,27.24,84.78
1982,4,1,26.93,17.4,27.57,-256.17,36.22,19.24,6.84,33.12,0.02,97.56,3.08,5.76,0.19,5.57,4.7,7.63,0.23,7.4,27.24,84.78
1982,4,2,27.51,16.19,27.71,-255.02,37.69,19.56,5.62,27.31,0.02,97.69,4.55,9.27,0.8,8.48,6.98,11.4,1.07,10.33,27.24,84.78
1982,4,3,27.64,16.58,28.28,-255.52,36.89,19.26,5.8,27,0,97.97,2.55,3.44,1.79,1.65,3.98,7.27,2.33,4.95,27.24,84.78
1982,4,4,28.9,16.97,29.41,-255.91,38.02,20.78,5.62,24.62,0,98.17,2.7,3.7,1.85,1.84,3.92,6.19,1.73,4.45,27.24,84.78
1982,4,5,29.81,18.15,30.29,-255.47,39.23,21.55,6.23,25.62,0,98.25,3.35,6.28,0.88,5.41,5.12,7.51,0.7,6.8,27.24,84.78
